"room_type","accommodates","bathrooms","bedrooms","beds","price","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","city"
"Entire home/apt",4,1,2,2,71,2,1125,100,97,10,10,10,10,10,10,"malaga"
"Entire home/apt",4,1,1,4,48,1,1125,0,92,9,9,10,10,10,9,"girona"
"Private room",1,2,1,1,15,60,1125,3,93,9,9,10,10,10,9,"barcelona"
"Entire home/apt",4,1,0,2,35,2,1125,2,90,9,10,9,10,9,9,"girona"
"Private room",3,1,2,2,30,1,1125,7,94,9,9,9,9,8,8,"mallorca"
"Entire home/apt",4,1,1,1,300,3,1125,2,90,9,10,10,10,10,10,"barcelona"
"Hotel room",5,1,2,3,79,2,1125,2,100,9,10,10,9,10,9,"girona"
"Private room",2,1,1,1,54,3,1125,132,97,10,10,10,10,10,9,"barcelona"
"Entire home/apt",5,1,3,4,120,3,28,25,100,10,10,10,10,10,10,"menorca"
"Entire home/apt",5,1,2,3,120,14,1125,14,83,9,10,8,9,10,9,"madrid"
"Entire home/apt",6,2,3,4,156,1,1125,0,92,9,9,10,10,10,9,"mallorca"
"Entire home/apt",2,1,1,1,49,3,1125,15,97,10,9,10,10,10,10,"malaga"
"Entire home/apt",8,3,4,7,242,4,1125,0,92,9,9,10,10,10,9,"mallorca"
"Private room",2,1,1,1,24,5,1125,40,92,10,9,10,10,10,9,"barcelona"
"Entire home/apt",8,2,3,7,80,2,1125,2,90,10,10,10,9,10,8,"girona"
"Entire home/apt",12,2,4,5,185,3,330,70,96,10,10,10,10,10,9,"barcelona"
"Entire home/apt",2,2,1,1,60,2,15,275,90,9,9,10,10,10,9,"madrid"
"Private room",2,1,1,1,60,2,1125,2,90,9,10,10,10,10,10,"barcelona"
"Private room",2,1,1,1,50,1,1125,16,86,8,9,9,9,8,8,"mallorca"
"Entire home/apt",4,1,1,1,80,2,30,11,91,9,9,9,9,9,9,"malaga"
"Entire home/apt",6,3,3,4,115,5,30,11,96,10,9,10,10,9,10,"mallorca"
"Entire home/apt",9,2,3,5,100,1,1125,2,60,6,6,6,6,6,6,"valencia"
"Private room",3,1,2,2,300,1,1,0,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",5,2,3,3,214,32,365,0,92,9,9,10,10,10,9,"barcelona"
"Entire home/apt",4,1,2,4,70,3,20,82,93,10,9,10,10,10,9,"sevilla"
"Entire home/apt",8,2,4,5,225,3,1125,143,92,10,10,10,10,10,9,"barcelona"
"Private room",1,1,1,1,120,1,2,0,92,9,9,10,10,10,9,"madrid"
"Private room",1,1,1,1,28,2,15,26,99,10,10,10,10,10,10,"barcelona"
"Entire home/apt",4,1,1,2,79,2,365,0,92,9,9,10,10,10,9,"barcelona"
"Private room",1,1,1,1,19,3,1125,74,92,10,9,10,10,9,9,"sevilla"
"Private room",1,1,1,1,12,1,1125,22,99,10,10,10,10,10,10,"barcelona"
"Private room",2,1,1,1,25,1,1125,7,91,9,9,10,10,10,10,"madrid"
"Entire home/apt",6,2,3,4,121,1,27,0,92,9,9,10,10,10,9,"mallorca"
"Private room",3,1,1,2,70,4,31,49,100,10,10,10,10,10,10,"barcelona"
"Entire home/apt",3,1,1,2,80,2,89,72,99,10,10,10,10,10,10,"madrid"
"Entire home/apt",6,1,2,3,60,1,1125,77,93,9,10,9,10,9,9,"madrid"
"Entire home/apt",6,1,2,5,93,2,60,2,100,10,10,10,10,10,10,"girona"
"Private room",2,1,1,1,45,3,1125,2,100,10,10,10,10,10,10,"mallorca"
"Private room",2,2,1,1,29,2,1125,235,94,10,10,10,10,10,9,"sevilla"
"Entire home/apt",4,1,1,1,125,2,1125,8,98,10,10,10,10,10,10,"madrid"
"Entire home/apt",2,2,1,1,38,1,1125,1,80,8,10,10,10,8,8,"girona"
"Entire home/apt",10,3,4,10,136,7,365,5,96,10,10,10,10,10,10,"girona"
"Entire home/apt",2,1,1,1,52,1,1125,16,89,9,9,9,10,10,9,"malaga"
"Private room",8,3,3,6,274,1,1125,0,92,9,9,10,10,10,9,"sevilla"
"Entire home/apt",5,1,3,3,125,1,1125,13,82,9,8,9,10,9,8,"barcelona"
"Entire home/apt",12,6,7,8,180,1,1125,0,92,9,9,10,10,10,9,"mallorca"
"Private room",2,1,1,1,37,1,1125,8,85,9,9,9,10,9,9,"barcelona"
"Private room",1,1,1,1,40,2,7,1,100,10,10,10,10,6,10,"barcelona"
"Private room",1,1,1,1,25,15,1125,14,93,9,10,10,9,9,9,"barcelona"
"Private room",2,1,1,1,40,3,10,84,100,10,10,10,10,10,10,"mallorca"
"Entire home/apt",6,2,3,5,207,30,1125,1,100,10,10,10,10,10,10,"madrid"
"Entire home/apt",5,2,2,5,90,7,1125,0,92,9,9,10,10,10,9,"girona"
"Hotel room",2,1,1,1,55,1,7,60,86,9,10,9,9,10,9,"madrid"
"Entire home/apt",6,2,4,4,54,1,60,25,91,10,9,10,10,10,9,"valencia"
"Entire home/apt",7,2,4,7,90,2,20,45,93,9,9,10,10,9,9,"valencia"
"Entire home/apt",4,1,1,2,36,3,60,87,86,9,9,9,9,10,9,"madrid"
"Private room",2,1,1,1,40,1,1125,2,100,10,10,10,10,10,10,"barcelona"
"Entire home/apt",4,1,1,2,60,2,1125,43,85,9,9,9,9,10,9,"madrid"
"Entire home/apt",4,2,2,3,65,2,1124,33,93,9,10,9,10,9,9,"mallorca"
"Entire home/apt",6,2,3,5,75,1,1125,34,92,10,10,9,9,10,9,"barcelona"
"Entire home/apt",6,1,2,6,124,5,150,11,84,8,8,9,9,9,8,"barcelona"
"Entire home/apt",4,1,1,2,159,1,1125,9,98,10,10,9,9,10,9,"barcelona"
"Private room",2,1,1,1,45,1,1125,6,100,10,9,10,10,10,9,"malaga"
"Private room",2,1,1,1,40,1,6,3,93,10,10,10,10,9,9,"barcelona"
"Entire home/apt",8,2,4,8,230,1,1125,0,92,9,9,10,10,10,9,"mallorca"
"Entire home/apt",5,1,1,3,55,2,1125,10,88,9,9,10,10,10,9,"malaga"
"Entire home/apt",6,2,3,5,134,1,28,0,92,9,9,10,10,10,9,"girona"
"Private room",2,2,1,1,50,2,1125,11,100,10,10,10,10,10,10,"girona"
"Entire home/apt",2,1,1,1,80,5,1125,0,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",6,3,3,5,102,7,1125,5,84,9,7,10,10,9,8,"mallorca"
"Entire home/apt",10,2,3,6,129,3,1125,53,87,9,9,10,9,10,9,"madrid"
"Private room",4,1,1,4,70,1,1125,0,92,9,9,10,10,10,9,"mallorca"
"Entire home/apt",3,1,2,2,75,5,31,24,98,10,10,10,10,10,10,"menorca"
"Private room",1,1,1,0,35,1,14,1,100,10,10,10,6,10,10,"madrid"
